Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,data_figure,treatment
SRR10133092,not applicable,AMPLICON,249,22240811,ATCC,PRJNA565979,SAMN12775333,Human,9661818,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861517,Illumina MiSeq,Not applicable,Fig2b_Cterm_10_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_10_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_10_rep3.fastq.gz,
SRR10133094,not applicable,AMPLICON,249,19678787,ATCC,PRJNA565979,SAMN12775331,Human,8571518,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861515,Illumina MiSeq,Not applicable,Fig2b_Cterm_10_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_10_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_10_rep1.fastq.gz,
SRR10133095,not applicable,AMPLICON,249,19741242,ATCC,PRJNA565979,SAMN12775330,Human,8584428,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861514,Illumina MiSeq,Not applicable,Fig2b_Cterm_9_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_9_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_9_rep3.fastq.gz,
SRR10133097,not applicable,AMPLICON,249,15160535,ATCC,PRJNA565979,SAMN12775371,Human,6573348,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861512,Illumina MiSeq,Not applicable,Fig2b_Nterm_15_rep2.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_15_rep2.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_15_rep2.fastq.gz,
SRR10133098,not applicable,AMPLICON,249,17436617,ATCC,PRJNA565979,SAMN12775370,Human,7637381,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861511,Illumina MiSeq,Not applicable,Fig2b_Nterm_15_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_15_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_15_rep1.fastq.gz,
SRR10133100,not applicable,AMPLICON,249,20500330,ATCC,PRJNA565979,SAMN12775368,Human,8856946,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861509,Illumina MiSeq,Not applicable,Fig2b_Nterm_14_rep2.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_14_rep2.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_14_rep2.fastq.gz,
SRR10133102,not applicable,AMPLICON,249,19326422,ATCC,PRJNA565979,SAMN12775366,Human,8433265,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861507,Illumina MiSeq,Not applicable,Fig2b_Nterm_13_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_13_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_13_rep3.fastq.gz,
SRR10133105,not applicable,AMPLICON,249,24023257,ATCC,PRJNA565979,SAMN12775364,Human,10485896,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861504,Illumina MiSeq,Not applicable,Fig2b_Nterm_13_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_13_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_13_rep1.fastq.gz,
SRR10133107,not applicable,AMPLICON,249,22183598,ATCC,PRJNA565979,SAMN12775362,Human,9594048,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861502,Illumina MiSeq,Not applicable,Fig2b_Nterm_12_rep2.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_12_rep2.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_12_rep2.fastq.gz,
SRR10133108,not applicable,AMPLICON,249,23528377,ATCC,PRJNA565979,SAMN12775361,Human,10296352,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861501,Illumina MiSeq,Not applicable,Fig2b_Nterm_12_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_12_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_12_rep1.fastq.gz,
SRR10133110,not applicable,AMPLICON,249,21818629,ATCC,PRJNA565979,SAMN12775359,Human,9429386,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861499,Illumina MiSeq,Not applicable,Fig2b_Nterm_11_rep2.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_11_rep2.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_11_rep2.fastq.gz,
SRR10133112,not applicable,AMPLICON,249,23444672,ATCC,PRJNA565979,SAMN12775357,Human,10226827,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861497,Illumina MiSeq,Not applicable,Fig2b_Nterm_10_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_10_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_10_rep3.fastq.gz,
SRR10133113,not applicable,AMPLICON,249,22694804,ATCC,PRJNA565979,SAMN12775356,Human,9806356,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861496,Illumina MiSeq,Not applicable,Fig2b_Nterm_10_rep2.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_10_rep2.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_10_rep2.fastq.gz,
SRR10133115,not applicable,AMPLICON,249,22272823,ATCC,PRJNA565979,SAMN12775328,Human,9642875,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861494,Illumina MiSeq,Not applicable,Fig2b_Cterm_9_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_9_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_9_rep1.fastq.gz,
SRR10133120,not applicable,AMPLICON,249,20777040,ATCC,PRJNA565979,SAMN12775350,Human,9010585,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861489,Illumina MiSeq,Not applicable,Fig2b_Nterm_8_rep2.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Nterm_8_rep2.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Nterm_8_rep2.fastq.gz,
SRR10133122,not applicable,AMPLICON,249,15982875,ATCC,PRJNA565979,SAMN12775348,Human,6952811,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861487,Illumina MiSeq,Not applicable,Fig2b_Cterm_15_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_15_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_15_rep3.fastq.gz,
