sample_name,group,color,R1,replicate
EMX1_-116_1,EMX1_-116,1,SRR10287258.fastq.gz,1
EMX1_-116_2,EMX1_-116,1,SRR10287247.fastq.gz,2
EMX1_-116_3,EMX1_-116,1,SRR10287236.fastq.gz,3
EMX1_-057_1,EMX1_-057,2,SRR10287307.fastq.gz,1
EMX1_-057_2,EMX1_-057,2,SRR10287306.fastq.gz,2
EMX1_-057_3,EMX1_-057,2,SRR10287269.fastq.gz,3
EMX1_+000_1,EMX1_+000,3,SRR10287271.fastq.gz,1
EMX1_+000_2,EMX1_+000,3,SRR10287270.fastq.gz,2
EMX1_+000_3,EMX1_+000,3,SRR10287268.fastq.gz,3
EMX1_+014_1,EMX1_+014,4,SRR10287225.fastq.gz,1
EMX1_+014_2,EMX1_+014,4,SRR10287214.fastq.gz,2
EMX1_+014_3,EMX1_+014,4,SRR10287203.fastq.gz,3
EMX1_+027_1,EMX1_+027,5,SRR10287192.fastq.gz,1
EMX1_+027_2,EMX1_+027,5,SRR10287305.fastq.gz,2
EMX1_+027_3,EMX1_+027,5,SRR10287294.fastq.gz,3
EMX1_+053_1,EMX1_+053,6,SRR10287283.fastq.gz,1
EMX1_+053_2,EMX1_+053,6,SRR10287276.fastq.gz,2
EMX1_+053_3,EMX1_+053,6,SRR10287275.fastq.gz,3
EMX1_+080_1,EMX1_+080,7,SRR10287274.fastq.gz,1
EMX1_+080_2,EMX1_+080,7,SRR10287273.fastq.gz,2
EMX1_+080_3,EMX1_+080,7,SRR10287272.fastq.gz,3
FANCF_-078_1,FANCF_-078,8,SRR10287257.fastq.gz,1
FANCF_-078_2,FANCF_-078,8,SRR10287256.fastq.gz,2
FANCF_-078_3,FANCF_-078,8,SRR10287255.fastq.gz,3
FANCF_-050_1,FANCF_-050,9,SRR10287261.fastq.gz,1
FANCF_-050_2,FANCF_-050,9,SRR10287260.fastq.gz,2
FANCF_-050_3,FANCF_-050,9,SRR10287259.fastq.gz,3
FANCF_-027_1,FANCF_-027,10,SRR10287264.fastq.gz,1
FANCF_-027_2,FANCF_-027,10,SRR10287263.fastq.gz,2
FANCF_-027_3,FANCF_-027,10,SRR10287262.fastq.gz,3
FANCF_-017_1,FANCF_-017,11,SRR10287267.fastq.gz,1
FANCF_-017_2,FANCF_-017,11,SRR10287266.fastq.gz,2
FANCF_-017_3,FANCF_-017,11,SRR10287265.fastq.gz,3
FANCF_+000_1,FANCF_+000,12,SRR10287248.fastq.gz,1
FANCF_+000_2,FANCF_+000,12,SRR10287246.fastq.gz,2
FANCF_+000_3,FANCF_+000,12,SRR10287245.fastq.gz,3
FANCF_+021_1,FANCF_+021,13,SRR10287254.fastq.gz,1
FANCF_+021_2,FANCF_+021,13,SRR10287253.fastq.gz,2
FANCF_+021_3,FANCF_+021,13,SRR10287252.fastq.gz,3
FANCF_+048_1,FANCF_+048,14,SRR10287251.fastq.gz,1
FANCF_+048_2,FANCF_+048,14,SRR10287250.fastq.gz,2
FANCF_+048_3,FANCF_+048,14,SRR10287249.fastq.gz,3
HEK3_-108_1,HEK3_-108,15,SRR10287241.fastq.gz,1
HEK3_-108_2,HEK3_-108,15,SRR10287240.fastq.gz,2
HEK3_-108_3,HEK3_-108,15,SRR10287239.fastq.gz,3
HEK3_-038_1,HEK3_-038,16,SRR10287244.fastq.gz,1
HEK3_-038_2,HEK3_-038,16,SRR10287243.fastq.gz,2
HEK3_-038_3,HEK3_-038,16,SRR10287242.fastq.gz,3
HEK3_+000_1,HEK3_+000,17,SRR10287224.fastq.gz,1
