sample_name,group,R1,replicate
DNMT1_1TCAins_1,DNMT1_1TCAins,SRR10287781.fastq.gz,1
DNMT1_1TCAins_2,DNMT1_1TCAins,SRR10287780.fastq.gz,2
DNMT1_1TCAins_3,DNMT1_1TCAins,SRR10287779.fastq.gz,3
DNMT1_3-5AGGdel_1,DNMT1_3-5AGGdel,SRR10287778.fastq.gz,1
DNMT1_3-5AGGdel_2,DNMT1_3-5AGGdel,SRR10287777.fastq.gz,2
DNMT1_3-5AGGdel_3,DNMT1_3-5AGGdel,SRR10287776.fastq.gz,3
DNMT1_3Adel_1,DNMT1_3Adel,SRR10287775.fastq.gz,1
DNMT1_3Adel_2,DNMT1_3Adel,SRR10287774.fastq.gz,2
DNMT1_3Adel_3,DNMT1_3Adel,SRR10287772.fastq.gz,3
DNMT1_4Cins_1,DNMT1_4Cins,SRR10287771.fastq.gz,1
DNMT1_4Cins_2,DNMT1_4Cins,SRR10287770.fastq.gz,2
DNMT1_4Cins_3,DNMT1_4Cins,SRR10287769.fastq.gz,3
EMX1_1TGCins_1,EMX1_1TGCins,SRR10287768.fastq.gz,1
EMX1_1TGCins_2,EMX1_1TGCins,SRR10287767.fastq.gz,2
EMX1_1TGCins_3,EMX1_1TGCins,SRR10287766.fastq.gz,3
EMX1_4-6GGGdel_1,EMX1_4-6GGGdel,SRR10287765.fastq.gz,1
EMX1_4-6GGGdel_2,EMX1_4-6GGGdel,SRR10287764.fastq.gz,2
EMX1_4-6GGGdel_3,EMX1_4-6GGGdel,SRR10288111.fastq.gz,3
EMX1_5Gdel_1,EMX1_5Gdel,SRR10288109.fastq.gz,1
EMX1_5Gdel_2,EMX1_5Gdel,SRR10288108.fastq.gz,2
EMX1_5Gdel_3,EMX1_5Gdel,SRR10288107.fastq.gz,3
EMX1_6Tins_1,EMX1_6Tins,SRR10288106.fastq.gz,1
EMX1_6Tins_2,EMX1_6Tins,SRR10288105.fastq.gz,2
EMX1_6Tins_3,EMX1_6Tins,SRR10288104.fastq.gz,3
FANCF_3Cins_1,FANCF_3Cins,SRR10288103.fastq.gz,1
FANCF_3Cins_2,FANCF_3Cins,SRR10288102.fastq.gz,2
FANCF_3Cins_3,FANCF_3Cins,SRR10288101.fastq.gz,3
