sample_name,group,R1,replicate
HEK3_del1-10_1,HEK3_del1-10,SRR10288032.fastq.gz,1
HEK3_del1-10_2,HEK3_del1-10,SRR10288030.fastq.gz,2
HEK3_del1-10_3,HEK3_del1-10,SRR10288029.fastq.gz,3
HEK3_del1-15_1,HEK3_del1-15,SRR10288028.fastq.gz,1
HEK3_del1-15_2,HEK3_del1-15,SRR10288027.fastq.gz,2
HEK3_del1-15_3,HEK3_del1-15,SRR10288026.fastq.gz,3
HEK3_del1-25_1,HEK3_del1-25,SRR10288025.fastq.gz,1
HEK3_del1-25_2,HEK3_del1-25,SRR10288024.fastq.gz,2
HEK3_del1-25_3,HEK3_del1-25,SRR10288023.fastq.gz,3
HEK3_del1-30_1,HEK3_del1-30,SRR10288022.fastq.gz,1
HEK3_del1-30_2,HEK3_del1-30,SRR10288021.fastq.gz,2
HEK3_del1-30_3,HEK3_del1-30,SRR10288019.fastq.gz,3
HEK3_del1-5_1,HEK3_del1-5,SRR10288035.fastq.gz,1
HEK3_del1-5_2,HEK3_del1-5,SRR10288034.fastq.gz,2
HEK3_del1-5_3,HEK3_del1-5,SRR10288033.fastq.gz,3
HEK3_del1-80_1,HEK3_del1-80,SRR10288018.fastq.gz,1
HEK3_del1-80_2,HEK3_del1-80,SRR10288017.fastq.gz,2
HEK3_del1-80_3,HEK3_del1-80,SRR10288016.fastq.gz,3
