sample_name,group,R1,replicate
FANCF_1AC_6GT_1,FANCF_1AC_6GT,SRR10288015.fastq.gz,1
FANCF_1AC_6GT_2,FANCF_1AC_6GT,SRR10288014.fastq.gz,2
FANCF_1AC_6GT_3,FANCF_1AC_6GT,SRR10288013.fastq.gz,3
FANCF_1Tins_4-5TGdel_1,FANCF_1Tins_4-5TGdel,SRR10288012.fastq.gz,1
FANCF_1Tins_4-5TGdel_2,FANCF_1Tins_4-5TGdel,SRR10288011.fastq.gz,2
FANCF_1Tins_4-5TGdel_3,FANCF_1Tins_4-5TGdel,SRR10288010.fastq.gz,3
FANCF_1Tins_6GA_1,FANCF_1Tins_6GA,SRR10288008.fastq.gz,1
FANCF_1Tins_6GA_2,FANCF_1Tins_6GA,SRR10288007.fastq.gz,2
FANCF_1Tins_6GA_3,FANCF_1Tins_6GA,SRR10288006.fastq.gz,3
FANCF_2Cdel_5GT_1,FANCF_2Cdel_5GT,SRR10288005.fastq.gz,1
FANCF_2Cdel_5GT_2,FANCF_2Cdel_5GT,SRR10288004.fastq.gz,2
FANCF_2Cdel_5GT_3,FANCF_2Cdel_5GT,SRR10288003.fastq.gz,3
HEK3_1CTTins_2GC_1,HEK3_1CTTins_2GC,SRR10288002.fastq.gz,1
HEK3_1CTTins_2GC_2,HEK3_1CTTins_2GC,SRR10288001.fastq.gz,2
HEK3_1CTTins_2GC_3,HEK3_1CTTins_2GC,SRR10288000.fastq.gz,3
HEK3_1CTTins_5Gdel_1,HEK3_1CTTins_5Gdel,SRR10287999.fastq.gz,1
HEK3_1CTTins_5Gdel_2,HEK3_1CTTins_5Gdel,SRR10287997.fastq.gz,2
HEK3_1CTTins_5Gdel_3,HEK3_1CTTins_5Gdel,SRR10287996.fastq.gz,3
HEK3_1Tdel_5GC_1,HEK3_1Tdel_5GC,SRR10287995.fastq.gz,1
HEK3_1Tdel_5GC_2,HEK3_1Tdel_5GC,SRR10287994.fastq.gz,2
HEK3_1Tdel_5GC_3,HEK3_1Tdel_5GC,SRR10287993.fastq.gz,3
HEK3_2GC_6GT_1,HEK3_2GC_6GT,SRR10287992.fastq.gz,1
HEK3_2GC_6GT_2,HEK3_2GC_6GT,SRR10287991.fastq.gz,2
HEK3_2GC_6GT_3,HEK3_2GC_6GT,SRR10287990.fastq.gz,3
RNF2_1-2CTdel_6GT_1,RNF2_1-2CTdel_6GT,SRR10287989.fastq.gz,1
RNF2_1-2CTdel_6GT_2,RNF2_1-2CTdel_6GT,SRR10287988.fastq.gz,2
RNF2_1-2CTdel_6GT_3,RNF2_1-2CTdel_6GT,SRR10287985.fastq.gz,3
RNF2_1Ains_5GC_1,RNF2_1Ains_5GC,SRR10287984.fastq.gz,1
RNF2_1Ains_5GC_2,RNF2_1Ains_5GC,SRR10287983.fastq.gz,2
RNF2_1Ains_5GC_3,RNF2_1Ains_5GC,SRR10287982.fastq.gz,3
RNF2_1CA_5GT_1,RNF2_1CA_5GT,SRR10287981.fastq.gz,1
RNF2_1CA_5GT_2,RNF2_1CA_5GT,SRR10287980.fastq.gz,2
RNF2_1CA_5GT_3,RNF2_1CA_5GT,SRR10287979.fastq.gz,3
RNF2_2AAin_3-4GAdel_1,RNF2_2AAin_3-4GAdel,SRR10287978.fastq.gz,1
RNF2_2AAin_3-4GAdel_2,RNF2_2AAin_3-4GAdel,SRR10287977.fastq.gz,2
RNF2_2AAin_3-4GAdel_3,RNF2_2AAin_3-4GAdel,SRR10287976.fastq.gz,3
