Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,treatment,BREED,Cell_type,Cultivar,dev_stage,Ecotype,strain
SRR16292955,Not applicable,AMPLICON,179,8096679,ATCC,PRJNA770428,SAMN22217344,Human,4693016,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX12571944,Illumina MiSeq,Not applicable,1,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-09T00:00:00Z,ED-Fig10-DG-nickase-AAVS1-rep3_S16_L001_R1_001.fastq.gz,Not applicable,SRP340874,Kidney,,Not applicable,Epithelial,Not applicable,Not applicable,Not applicable,Not applicable
SRR17169814,not applicable,AMPLICON,164,15234682,ATCC,PRJNA770428,SAMN23791816,Human,7524155,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353827,Illumina MiSeq,not applicable,259,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A360a_B414b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A360a_B414b_r1.fastq.gz,,,,,,
SRR17169817,not applicable,AMPLICON,137,13626098,ATCC,PRJNA770428,SAMN23791813,Human,7421428,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353824,Illumina MiSeq,not applicable,256,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A325c_B414b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A325c_B414b_r1.fastq.gz,,,,,,
SRR17169819,not applicable,AMPLICON,137,14984656,ATCC,PRJNA770428,SAMN23791811,Human,8029083,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353822,Illumina MiSeq,not applicable,254,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A325b_B414c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A325b_B414c_r1.fastq.gz,,,,,,
SRR17169821,not applicable,AMPLICON,133,15536775,ATCC,PRJNA770428,SAMN23791809,Human,8389415,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353820,Illumina MiSeq,not applicable,252,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A325b_B414a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A325b_B414a_r1.fastq.gz,,,,,,
SRR17169823,not applicable,AMPLICON,205,13498298,ATCC,PRJNA770428,SAMN23791583,Human,6041121,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353818,Illumina MiSeq,not applicable,26,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_411_432_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_411_432_r1.fastq.gz,,,,,,
SRR17169825,not applicable,AMPLICON,134,13604102,ATCC,PRJNA770428,SAMN23791806,Human,7380424,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353816,Illumina MiSeq,not applicable,249,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A325a_B414a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A325a_B414a_r1.fastq.gz,,,,,,
SRR17169827,not applicable,AMPLICON,283,19406203,ATCC,PRJNA770428,SAMN23791804,Human,8680756,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353814,Illumina MiSeq,not applicable,247,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260c_B330b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260c_B330b_r1.fastq.gz,,,,,,
SRR17169828,not applicable,AMPLICON,285,19538366,ATCC,PRJNA770428,SAMN23791803,Human,8521701,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353813,Illumina MiSeq,not applicable,246,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260c_B330a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260c_B330a_r1.fastq.gz,,,,,,
SRR17169830,not applicable,AMPLICON,283,19972070,ATCC,PRJNA770428,SAMN23791801,Human,8962816,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353811,Illumina MiSeq,not applicable,244,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260c_B326b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260c_B326b_r1.fastq.gz,,,,,,
