sample_name,group,R1,replicate
HEK3_attB_A30_B30_1,HEK3_attB_A30_B30,SRR17171720.fastq.gz,1
HEK3_attB_A30_B30_2,HEK3_attB_A30_B30,SRR17171719.fastq.gz,2
HEK3_attB_A30_B30_3,HEK3_attB_A30_B30,SRR17171718.fastq.gz,3
HEK3_attB_A30_B34_1,HEK3_attB_A30_B34,SRR17171717.fastq.gz,1
HEK3_attB_A30_B34_2,HEK3_attB_A30_B34,SRR17171716.fastq.gz,2
HEK3_attB_A30_B34_3,HEK3_attB_A30_B34,SRR17171715.fastq.gz,3
HEK3_attB_A30_B38_1,HEK3_attB_A30_B38,SRR17171714.fastq.gz,1
HEK3_attB_A30_B38_2,HEK3_attB_A30_B38,SRR17171713.fastq.gz,2
HEK3_attB_A30_B38_3,HEK3_attB_A30_B38,SRR17171711.fastq.gz,3
HEK3_attB_A34_B30_1,HEK3_attB_A34_B30,SRR17171710.fastq.gz,1
HEK3_attB_A34_B30_2,HEK3_attB_A34_B30,SRR17171709.fastq.gz,2
HEK3_attB_A34_B30_3,HEK3_attB_A34_B30,SRR17171708.fastq.gz,3
HEK3_attB_A34_B34_1,HEK3_attB_A34_B34,SRR17171707.fastq.gz,1
HEK3_attB_A34_B34_2,HEK3_attB_A34_B34,SRR17171706.fastq.gz,2
HEK3_attB_A34_B34_3,HEK3_attB_A34_B34,SRR17171705.fastq.gz,3
HEK3_attB_A34_B38_1,HEK3_attB_A34_B38,SRR17171704.fastq.gz,1
HEK3_attB_A34_B38_2,HEK3_attB_A34_B38,SRR17171703.fastq.gz,2
HEK3_attB_A34_B38_3,HEK3_attB_A34_B38,SRR17171702.fastq.gz,3
HEK3_attB_A38_B30_1,HEK3_attB_A38_B30,SRR17171892.fastq.gz,1
HEK3_attB_A38_B30_2,HEK3_attB_A38_B30,SRR17171891.fastq.gz,2
HEK3_attB_A38_B30_3,HEK3_attB_A38_B30,SRR17171890.fastq.gz,3
HEK3_attB_A38_B34_1,HEK3_attB_A38_B34,SRR17171889.fastq.gz,1
HEK3_attB_A38_B34_2,HEK3_attB_A38_B34,SRR17171888.fastq.gz,2
HEK3_attB_A38_B34_3,HEK3_attB_A38_B34,SRR17171887.fastq.gz,3
HEK3_attB_A38_B38_1,HEK3_attB_A38_B38,SRR17171886.fastq.gz,1
HEK3_attB_A38_B38_2,HEK3_attB_A38_B38,SRR17171885.fastq.gz,2
HEK3_attB_A38_B38_3,HEK3_attB_A38_B38,SRR17171884.fastq.gz,3
HEK3_attP_A35_B36_1,HEK3_attP_A35_B36,SRR17171883.fastq.gz,1
HEK3_attP_A35_B36_2,HEK3_attP_A35_B36,SRR17171881.fastq.gz,2
HEK3_attP_A35_B36_3,HEK3_attP_A35_B36,SRR17171880.fastq.gz,3
HEK3_attP_A35_B40_1,HEK3_attP_A35_B40,SRR17171879.fastq.gz,1
HEK3_attP_A35_B40_2,HEK3_attP_A35_B40,SRR17171878.fastq.gz,2
HEK3_attP_A35_B40_3,HEK3_attP_A35_B40,SRR17171877.fastq.gz,3
HEK3_attP_A35_B44_1,HEK3_attP_A35_B44,SRR17171876.fastq.gz,1
HEK3_attP_A35_B44_2,HEK3_attP_A35_B44,SRR17171875.fastq.gz,2
HEK3_attP_A35_B44_3,HEK3_attP_A35_B44,SRR17171874.fastq.gz,3
HEK3_attP_A39_B36_1,HEK3_attP_A39_B36,SRR17171873.fastq.gz,1
HEK3_attP_A39_B36_2,HEK3_attP_A39_B36,SRR17171872.fastq.gz,2
HEK3_attP_A39_B36_3,HEK3_attP_A39_B36,SRR17171870.fastq.gz,3
HEK3_attP_A39_B40_1,HEK3_attP_A39_B40,SRR17171869.fastq.gz,1
HEK3_attP_A39_B40_2,HEK3_attP_A39_B40,SRR17171868.fastq.gz,2
HEK3_attP_A39_B40_3,HEK3_attP_A39_B40,SRR17171867.fastq.gz,3
HEK3_attP_A39_B44_1,HEK3_attP_A39_B44,SRR17171866.fastq.gz,1
HEK3_attP_A39_B44_2,HEK3_attP_A39_B44,SRR17171865.fastq.gz,2
HEK3_attP_A39_B44_3,HEK3_attP_A39_B44,SRR17171864.fastq.gz,3
HEK3_attP_A43_B36_1,HEK3_attP_A43_B36,SRR17171863.fastq.gz,1
HEK3_attP_A43_B36_2,HEK3_attP_A43_B36,SRR17171862.fastq.gz,2
HEK3_attP_A43_B36_3,HEK3_attP_A43_B36,SRR17171861.fastq.gz,3
HEK3_attP_A43_B40_1,HEK3_attP_A43_B40,SRR17171963.fastq.gz,1
HEK3_attP_A43_B40_2,HEK3_attP_A43_B40,SRR17171962.fastq.gz,2
HEK3_attP_A43_B40_3,HEK3_attP_A43_B40,SRR17171961.fastq.gz,3
HEK3_attP_A43_B44_1,HEK3_attP_A43_B44,SRR17171960.fastq.gz,1
HEK3_attP_A43_B44_2,HEK3_attP_A43_B44,SRR17171959.fastq.gz,2
HEK3_attP_A43_B44_3,HEK3_attP_A43_B44,SRR17171958.fastq.gz,3
