sample_name,group,R1,replicate
HEK3_PE3_108bp_1,HEK3_PE3_108bp,SRR17171950.fastq.gz,1
HEK3_PE3_108bp_2,HEK3_PE3_108bp,SRR17171949.fastq.gz,2
HEK3_PE3_108bp_3,HEK3_PE3_108bp,SRR17171948.fastq.gz,3
HEK3_PE3_12bp_1,HEK3_PE3_12bp,SRR17171957.fastq.gz,1
HEK3_PE3_12bp_2,HEK3_PE3_12bp,SRR17171956.fastq.gz,2
HEK3_PE3_12bp_3,HEK3_PE3_12bp,SRR17171955.fastq.gz,3
HEK3_PE3_36bp_1,HEK3_PE3_36bp,SRR17171954.fastq.gz,1
HEK3_PE3_36bp_2,HEK3_PE3_36bp,SRR17171952.fastq.gz,2
HEK3_PE3_36bp_3,HEK3_PE3_36bp,SRR17171951.fastq.gz,3
HEK3_twinPE_108bp_1,HEK3_twinPE_108bp,SRR17171947.fastq.gz,1
HEK3_twinPE_108bp_2,HEK3_twinPE_108bp,SRR17171946.fastq.gz,2
HEK3_twinPE_108bp_3,HEK3_twinPE_108bp,SRR17171945.fastq.gz,3
