sample_name,group,R1,replicate
HEK3_HA_64_EvoPreQ1_1,HEK3_HA_64_EvoPreQ1,SRR17171791.fastq.gz,1
HEK3_HA_64_EvoPreQ1_2,HEK3_HA_64_EvoPreQ1,SRR17171790.fastq.gz,2
HEK3_HA_64_EvoPreQ1_3,HEK3_HA_64_EvoPreQ1,SRR17171789.fastq.gz,3
HEK3_HA_64_standard_1,HEK3_HA_64_standard,SRR17171777.fastq.gz,1
HEK3_HA_64_standard_2,HEK3_HA_64_standard,SRR17171776.fastq.gz,2
HEK3_HA_64_standard_3,HEK3_HA_64_standard,SRR17171775.fastq.gz,3
HEK3_PD_90_EvoPreQ1_1,HEK3_PD_90_EvoPreQ1,SRR17171788.fastq.gz,1
HEK3_PD_90_EvoPreQ1_2,HEK3_PD_90_EvoPreQ1,SRR17171787.fastq.gz,2
HEK3_PD_90_EvoPreQ1_3,HEK3_PD_90_EvoPreQ1,SRR17171786.fastq.gz,3
HEK3_PD_90_standard_1,HEK3_PD_90_standard,SRR17171774.fastq.gz,1
HEK3_PD_90_standard_2,HEK3_PD_90_standard,SRR17171773.fastq.gz,2
HEK3_PD_90_standard_3,HEK3_PD_90_standard,SRR17171772.fastq.gz,3
HEK3_SA_56_EvoPreQ1_1,HEK3_SA_56_EvoPreQ1,SRR17171785.fastq.gz,1
HEK3_SA_56_EvoPreQ1_2,HEK3_SA_56_EvoPreQ1,SRR17171784.fastq.gz,2
HEK3_SA_56_EvoPreQ1_3,HEK3_SA_56_EvoPreQ1,SRR17171783.fastq.gz,3
HEK3_SA_56_standard_1,HEK3_SA_56_standard,SRR17171771.fastq.gz,1
HEK3_SA_56_standard_2,HEK3_SA_56_standard,SRR17171770.fastq.gz,2
HEK3_SA_56_standard_3,HEK3_SA_56_standard,SRR17171768.fastq.gz,3
HEK3_SA_77_EvoPreQ1_1,HEK3_SA_77_EvoPreQ1,SRR17171782.fastq.gz,1
HEK3_SA_77_EvoPreQ1_2,HEK3_SA_77_EvoPreQ1,SRR17171779.fastq.gz,2
HEK3_SA_77_EvoPreQ1_3,HEK3_SA_77_EvoPreQ1,SRR17171778.fastq.gz,3
HEK3_SA_77_standard_1,HEK3_SA_77_standard,SRR17171767.fastq.gz,1
HEK3_SA_77_standard_2,HEK3_SA_77_standard,SRR17171766.fastq.gz,2
HEK3_SA_77_standard_3,HEK3_SA_77_standard,SRR17171765.fastq.gz,3
