sample_name,group,color,R1,replicate
AAVS1-1651+1652_A1246c_B1314b_1,AAVS1-1651+1652_A1246c_B1314b,1,SRR17172025.fastq.gz,1
AAVS1-1651+1652_A1246c_B1314b_2,AAVS1-1651+1652_A1246c_B1314b,1,SRR17172024.fastq.gz,2
AAVS1-1651+1652_A1246c_B1314b_3,AAVS1-1651+1652_A1246c_B1314b,1,SRR17172023.fastq.gz,3
AAVS1-1651+1652_A1246c_B1376a_1,AAVS1-1651+1652_A1246c_B1376a,2,SRR17172022.fastq.gz,1
AAVS1-1651+1652_A1246c_B1376a_2,AAVS1-1651+1652_A1246c_B1376a,2,SRR17172021.fastq.gz,2
AAVS1-1651+1652_A1246c_B1376a_3,AAVS1-1651+1652_A1246c_B1376a,2,SRR17172019.fastq.gz,3
AAVS1-1651+1652_A1267c_B1314b_1,AAVS1-1651+1652_A1267c_B1314b,3,SRR17172018.fastq.gz,1
AAVS1-1651+1652_A1267c_B1314b_2,AAVS1-1651+1652_A1267c_B1314b,3,SRR17172017.fastq.gz,2
AAVS1-1651+1652_A1267c_B1314b_3,AAVS1-1651+1652_A1267c_B1314b,3,SRR17172016.fastq.gz,3
AAVS1-1651+1652_A1267c_B1376a_1,AAVS1-1651+1652_A1267c_B1376a,4,SRR17172015.fastq.gz,1
AAVS1-1651+1652_A1267c_B1376a_2,AAVS1-1651+1652_A1267c_B1376a,4,SRR17172014.fastq.gz,2
AAVS1-1651+1652_A1267c_B1376a_3,AAVS1-1651+1652_A1267c_B1376a,4,SRR17172013.fastq.gz,3
AAVS1-1651+1652_A1293a_B1314b_1,AAVS1-1651+1652_A1293a_B1314b,5,SRR17172012.fastq.gz,1
AAVS1-1651+1652_A1293a_B1314b_2,AAVS1-1651+1652_A1293a_B1314b,5,SRR17172011.fastq.gz,2
AAVS1-1651+1652_A1293a_B1314b_3,AAVS1-1651+1652_A1293a_B1314b,5,SRR17172010.fastq.gz,3
AAVS1-1651+1652_A1293a_B1376a_1,AAVS1-1651+1652_A1293a_B1376a,6,SRR17172008.fastq.gz,1
AAVS1-1651+1652_A1293a_B1376a_2,AAVS1-1651+1652_A1293a_B1376a,6,SRR17172007.fastq.gz,2
AAVS1-1651+1652_A1293a_B1376a_3,AAVS1-1651+1652_A1293a_B1376a,6,SRR17172006.fastq.gz,3
AAVS1-1651+1652_A1307b_B1314a_1,AAVS1-1651+1652_A1307b_B1314a,7,SRR17172005.fastq.gz,1
AAVS1-1651+1652_A1307b_B1314a_2,AAVS1-1651+1652_A1307b_B1314a,7,SRR17172004.fastq.gz,2
AAVS1-1651+1652_A1307b_B1314a_3,AAVS1-1651+1652_A1307b_B1314a,7,SRR17172003.fastq.gz,3
AAVS1-1651+1652_A1307b_B1376a_1,AAVS1-1651+1652_A1307b_B1376a,8,SRR17172002.fastq.gz,1
AAVS1-1651+1652_A1307b_B1376a_2,AAVS1-1651+1652_A1307b_B1376a,8,SRR17172001.fastq.gz,2
AAVS1-1651+1652_A1307b_B1376a_3,AAVS1-1651+1652_A1307b_B1376a,8,SRR17172000.fastq.gz,3
AAVS1-1653+1715_A1582c_B1640a_1,AAVS1-1653+1715_A1582c_B1640a,9,SRR17171999.fastq.gz,1
AAVS1-1653+1715_A1582c_B1640a_2,AAVS1-1653+1715_A1582c_B1640a,9,SRR17172230.fastq.gz,2
AAVS1-1653+1715_A1582c_B1640a_3,AAVS1-1653+1715_A1582c_B1640a,9,SRR17172229.fastq.gz,3
AAVS1-1653+1715_A1582c_B1676a_1,AAVS1-1653+1715_A1582c_B1676a,10,SRR17172228.fastq.gz,1
AAVS1-1653+1715_A1582c_B1676a_2,AAVS1-1653+1715_A1582c_B1676a,10,SRR17172227.fastq.gz,2
AAVS1-1653+1715_A1582c_B1676a_3,AAVS1-1653+1715_A1582c_B1676a,10,SRR17172226.fastq.gz,3
