group,supplemental_indices,experiment_type,target_info,pegRNAs
AAVS1-1651+1652_A1246a_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1246a;AAVS1_B1314a
AAVS1-1651+1652_A1246a_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1246a;AAVS1_B1314b
AAVS1-1651+1652_A1246a_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1246a;AAVS1_B1314c
AAVS1-1651+1652_A1246a_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1246a;AAVS1_B1376a
AAVS1-1651+1652_A1246a_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1246a;AAVS1_B1376b
AAVS1-1651+1652_A1246a_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1246a;AAVS1_B1376c
AAVS1-1651+1652_A1246b_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1246b;AAVS1_B1314a
AAVS1-1651+1652_A1246b_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1246b;AAVS1_B1314b
AAVS1-1651+1652_A1246b_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1246b;AAVS1_B1314c
AAVS1-1651+1652_A1246b_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1246b;AAVS1_B1376a
AAVS1-1651+1652_A1246b_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1246b;AAVS1_B1376b
AAVS1-1651+1652_A1246b_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1246b;AAVS1_B1376c
AAVS1-1651+1652_A1246c_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1314a
AAVS1-1651+1652_A1246c_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1314b
AAVS1-1651+1652_A1246c_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1314c
AAVS1-1651+1652_A1246c_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1376a
AAVS1-1651+1652_A1246c_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1376b
AAVS1-1651+1652_A1246c_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1376c
AAVS1-1651+1652_A1267a_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1267a;AAVS1_B1314a
AAVS1-1651+1652_A1267a_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1267a;AAVS1_B1314b
AAVS1-1651+1652_A1267a_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1267a;AAVS1_B1314c
AAVS1-1651+1652_A1267a_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1267a;AAVS1_B1376a
AAVS1-1651+1652_A1267a_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1267a;AAVS1_B1376b
AAVS1-1651+1652_A1267a_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1267a;AAVS1_B1376c
AAVS1-1651+1652_A1267b_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1267b;AAVS1_B1314a
AAVS1-1651+1652_A1267b_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1267b;AAVS1_B1314b
AAVS1-1651+1652_A1267b_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1267b;AAVS1_B1314c
AAVS1-1651+1652_A1267b_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1267b;AAVS1_B1376a
AAVS1-1651+1652_A1267b_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1267b;AAVS1_B1376b
AAVS1-1651+1652_A1267b_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1267b;AAVS1_B1376c
AAVS1-1651+1652_A1267c_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1314a
AAVS1-1651+1652_A1267c_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1314b
AAVS1-1651+1652_A1267c_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1314c
AAVS1-1651+1652_A1267c_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1376a
AAVS1-1651+1652_A1267c_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1376b
AAVS1-1651+1652_A1267c_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1376c
AAVS1-1651+1652_A1293a_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1314a
AAVS1-1651+1652_A1293a_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1314b
AAVS1-1651+1652_A1293a_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1314c
AAVS1-1651+1652_A1293a_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1376a
AAVS1-1651+1652_A1293a_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1376b
AAVS1-1651+1652_A1293a_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1376c
AAVS1-1651+1652_A1293b_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1293b;AAVS1_B1314a
AAVS1-1651+1652_A1293b_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1293b;AAVS1_B1314b
AAVS1-1651+1652_A1293b_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1293b;AAVS1_B1314c
AAVS1-1651+1652_A1293b_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1293b;AAVS1_B1376a
AAVS1-1651+1652_A1293b_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1293b;AAVS1_B1376b
AAVS1-1651+1652_A1293b_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1293b;AAVS1_B1376c
AAVS1-1651+1652_A1293c_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1293c;AAVS1_B1314a
AAVS1-1651+1652_A1293c_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1293c;AAVS1_B1314b
AAVS1-1651+1652_A1293c_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1293c;AAVS1_B1314c
AAVS1-1651+1652_A1293c_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1293c;AAVS1_B1376a
AAVS1-1651+1652_A1293c_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1293c;AAVS1_B1376b
AAVS1-1651+1652_A1293c_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1293c;AAVS1_B1376c
AAVS1-1651+1652_A1307a_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1307a;AAVS1_B1314a
AAVS1-1651+1652_A1307a_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1307a;AAVS1_B1314b
AAVS1-1651+1652_A1307a_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1307a;AAVS1_B1314c
AAVS1-1651+1652_A1307a_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1307a;AAVS1_B1376a
AAVS1-1651+1652_A1307a_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1307a;AAVS1_B1376b
AAVS1-1651+1652_A1307a_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1307a;AAVS1_B1376c
AAVS1-1651+1652_A1307b_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1314a
AAVS1-1651+1652_A1307b_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1314b
AAVS1-1651+1652_A1307b_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1314c
AAVS1-1651+1652_A1307b_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1376a
AAVS1-1651+1652_A1307b_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1376b
AAVS1-1651+1652_A1307b_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1376c
AAVS1-1651+1652_A1307c_B1314a,,twin_prime,AAVS1-1651+1652,AAVS1_A1307c;AAVS1_B1314a
AAVS1-1651+1652_A1307c_B1314b,,twin_prime,AAVS1-1651+1652,AAVS1_A1307c;AAVS1_B1314b
AAVS1-1651+1652_A1307c_B1314c,,twin_prime,AAVS1-1651+1652,AAVS1_A1307c;AAVS1_B1314c
AAVS1-1651+1652_A1307c_B1376a,,twin_prime,AAVS1-1651+1652,AAVS1_A1307c;AAVS1_B1376a
AAVS1-1651+1652_A1307c_B1376b,,twin_prime,AAVS1-1651+1652,AAVS1_A1307c;AAVS1_B1376b
AAVS1-1651+1652_A1307c_B1376c,,twin_prime,AAVS1-1651+1652,AAVS1_A1307c;AAVS1_B1376c
AAVS1-1653+1715_A1582a_B1640a,,twin_prime,AAVS1-1653+1715,AAVS1_A1582a;AAVS1_B1640a
AAVS1-1653+1715_A1582a_B1640b,,twin_prime,AAVS1-1653+1715,AAVS1_A1582a;AAVS1_B1640b
