sample_name,group,R1,replicate
AAVS1-1651+1652_A1246a_B1314a,AAVS1-1651+1652_A1246a_B1314a,SRR17170396.fastq.gz,1
AAVS1-1651+1652_A1246a_B1314b,AAVS1-1651+1652_A1246a_B1314b,SRR17170385.fastq.gz,1
AAVS1-1651+1652_A1246a_B1314c,AAVS1-1651+1652_A1246a_B1314c,SRR17170266.fastq.gz,1
AAVS1-1651+1652_A1246a_B1376a,AAVS1-1651+1652_A1246a_B1376a,SRR17170255.fastq.gz,1
AAVS1-1651+1652_A1246a_B1376b,AAVS1-1651+1652_A1246a_B1376b,SRR17170244.fastq.gz,1
AAVS1-1651+1652_A1246a_B1376c,AAVS1-1651+1652_A1246a_B1376c,SRR17170233.fastq.gz,1
AAVS1-1651+1652_A1246b_B1314a,AAVS1-1651+1652_A1246b_B1314a,SRR17170294.fastq.gz,1
AAVS1-1651+1652_A1246b_B1314b,AAVS1-1651+1652_A1246b_B1314b,SRR17170290.fastq.gz,1
AAVS1-1651+1652_A1246b_B1314c,AAVS1-1651+1652_A1246b_B1314c,SRR17170289.fastq.gz,1
AAVS1-1651+1652_A1246b_B1376a,AAVS1-1651+1652_A1246b_B1376a,SRR17170287.fastq.gz,1
AAVS1-1651+1652_A1246b_B1376b,AAVS1-1651+1652_A1246b_B1376b,SRR17170286.fastq.gz,1
AAVS1-1651+1652_A1246b_B1376c,AAVS1-1651+1652_A1246b_B1376c,SRR17170285.fastq.gz,1
AAVS1-1651+1652_A1246c_B1314a,AAVS1-1651+1652_A1246c_B1314a,SRR17170284.fastq.gz,1
AAVS1-1651+1652_A1246c_B1314b,AAVS1-1651+1652_A1246c_B1314b,SRR17170283.fastq.gz,1
AAVS1-1651+1652_A1246c_B1314c,AAVS1-1651+1652_A1246c_B1314c,SRR17170282.fastq.gz,1
AAVS1-1651+1652_A1246c_B1376a,AAVS1-1651+1652_A1246c_B1376a,SRR17170281.fastq.gz,1
AAVS1-1651+1652_A1246c_B1376b,AAVS1-1651+1652_A1246c_B1376b,SRR17170280.fastq.gz,1
AAVS1-1651+1652_A1246c_B1376c,AAVS1-1651+1652_A1246c_B1376c,SRR17170279.fastq.gz,1
AAVS1-1651+1652_A1267a_B1314a,AAVS1-1651+1652_A1267a_B1314a,SRR17170278.fastq.gz,1
AAVS1-1651+1652_A1267a_B1314b,AAVS1-1651+1652_A1267a_B1314b,SRR17170276.fastq.gz,1
AAVS1-1651+1652_A1267a_B1314c,AAVS1-1651+1652_A1267a_B1314c,SRR17170275.fastq.gz,1
AAVS1-1651+1652_A1267a_B1376a,AAVS1-1651+1652_A1267a_B1376a,SRR17170274.fastq.gz,1
AAVS1-1651+1652_A1267a_B1376b,AAVS1-1651+1652_A1267a_B1376b,SRR17170273.fastq.gz,1
AAVS1-1651+1652_A1267a_B1376c,AAVS1-1651+1652_A1267a_B1376c,SRR17170272.fastq.gz,1
AAVS1-1651+1652_A1267b_B1314a,AAVS1-1651+1652_A1267b_B1314a,SRR17170271.fastq.gz,1
