group,supplemental_indices,experiment_type,target_info,pegRNAs,sgRNA
DNMT1_1TCAins,,prime_editing,DNMT1,DNMT1_4f_1TCAins,DNMT1_4h_+49
DNMT1_3-5AGGdel,,prime_editing,DNMT1,DNMT1_4f_3-5AGGdel,DNMT1_4h_+49
DNMT1_3Adel,,prime_editing,DNMT1,DNMT1_4f_3Adel,DNMT1_4h_+49
DNMT1_4Cins,,prime_editing,DNMT1,DNMT1_4f_4Cins,DNMT1_4h_+49
EMX1_1TGCins,,prime_editing,EMX1,EMX1_4f_1TGCins,EMX1_4e_+53
EMX1_4-6GGGdel,,prime_editing,EMX1,EMX1_4f_4-6GGGdel,EMX1_4e_+53
EMX1_5Gdel,,prime_editing,EMX1,EMX1_4f_5Gdel,EMX1_4e_+53
EMX1_6Tins,,prime_editing,EMX1,EMX1_4f_6Tins,EMX1_4e_+53
FANCF_3Cins,,prime_editing,FANCF,FANCF_4f_3Cins,FANCF_4d_+48
FANCF_4GATins,,prime_editing,FANCF,FANCF_4f_4GATins,FANCF_4d_+48
FANCF_5-7GGAdel,,prime_editing,FANCF,FANCF_4f_5-7GGAdel,FANCF_4d_+48
FANCF_6Gdel,,prime_editing,FANCF,FANCF_4f_6Gdel,FANCF_4d_+48
HEK3_1-3TGAdel,,prime_editing,HEK3,HEK3_4f_1-3TGAdel,HEK3_4a_+90
HEK3_1Ains,,prime_editing,HEK3,HEK3_4f_1Ains,HEK3_4a_+90
HEK3_1CTTins,,prime_editing,HEK3,HEK3_4f_1CTTins,HEK3_4a_+90
HEK3_1Tdel,,prime_editing,HEK3,HEK3_4f_1Tdel,HEK3_4a_+90
RNF2_1GTAins,,prime_editing,RNF2,RNF2_4f_1GTAins,RNF2_4c_+41
RNF2_1Tins,,prime_editing,RNF2,RNF2_4f_1Tins,RNF2_4c_+41
RNF2_3-5GAGdel,,prime_editing,RNF2,RNF2_4f_3-5GAGdel,RNF2_4c_+41
RNF2_4Adel,,prime_editing,RNF2,RNF2_4f_4Adel,RNF2_4c_+41
RUNX1_1ATGins,,prime_editing,RUNX1,RUNX1_4f_1ATGins,RUNX1_4f_+38
RUNX1_1Cins,,prime_editing,RUNX1,RUNX1_4f_1Cins,RUNX1_4f_+38
RUNX1_2-4GATdel,,prime_editing,RUNX1,RUNX1_4f_2-4GATdel,RUNX1_4f_+38
RUNX1_2Gdel,,prime_editing,RUNX1,RUNX1_4f_2Gdel,RUNX1_4f_+38
VEGFA_2-4GAGdel,,prime_editing,VEGFA,VEGFA_4f_2-4GAGdel,VEGFA_4g_+57
VEGFA_2ACAins,,prime_editing,VEGFA,VEGFA_4f_2ACAins,VEGFA_4g_+57
VEGFA_3Adel,,prime_editing,VEGFA,VEGFA_4f_3Adel,VEGFA_4g_+57
VEGFA_4Cins,,prime_editing,VEGFA,VEGFA_4f_4Cins,VEGFA_4g_+57
